Old Sprite,New Sprite,Old File,New File,Category,Notes
GFX_Generic_National_Focus_Research_1,GFX_generic_focus_research_graduation,gfx/interface/goals/generic/research/Generic_National_Focus_Research_1.png,gfx/interface/goals/generic/research/generic_focus_research_graduation.png,research,
GFX_Generic_National_Focus_Research_4,GFX_generic_focus_research_hospital,gfx/interface/goals/generic/research/Generic_Hospital.png,gfx/interface/goals/generic/research/generic_focus_research_hospital.png,research,
GFX_Generic_National_Focus_Research_11,GFX_generic_focus_research_hourglass,gfx/interface/goals/generic/research/Generic_National_Focus_Research_11.png,gfx/interface/goals/generic/research/generic_focus_research_hourglass.png,research,
GFX_Generic_National_Focus_Research_14,GFX_generic_focus_research_lab_furnace,gfx/interface/goals/generic/research/Generic_National_Focus_Research_14.png,gfx/interface/goals/generic/research/generic_focus_research_lab_furnace.png,research,
GFX_Generic_National_Focus_Research_10,GFX_generic_focus_research_laboratory_clocks,gfx/interface/goals/generic/research/Generic_National_Focus_Research_10.png,gfx/interface/goals/generic/research/generic_focus_research_laboratory_clocks.png,research,
GFX_Generic_National_Focus_Research_15,GFX_generic_focus_research_medical_kit,gfx/interface/goals/generic/research/Generic_National_Focus_Research_15.png,gfx/interface/goals/generic/research/generic_focus_research_medical_kit.png,research,
GFX_Generic_National_Focus_Research_12,GFX_generic_focus_research_medical_texts,gfx/interface/goals/generic/research/Generic_National_Focus_Research_12.png,gfx/interface/goals/generic/research/generic_focus_research_medical_texts.png,research,
GFX_Generic_National_Focus_Research_18,GFX_generic_focus_research_nuclear_ban,gfx/interface/goals/generic/research/Generic_National_Focus_Research_18.png,gfx/interface/goals/generic/research/generic_focus_research_nuclear_ban.png,research,
GFX_Generic_National_Focus_Research_22,GFX_generic_focus_research_nuclear_reactor,gfx/interface/goals/generic/research/Generic_National_Focus_Research_22.png,gfx/interface/goals/generic/research/generic_focus_research_nuclear_reactor.png,research,
GFX_Generic_National_Focus_Research_7,GFX_generic_focus_research_physics_lecture,gfx/interface/goals/generic/research/Generic_National_Focus_Research_7.png,gfx/interface/goals/generic/research/generic_focus_research_physics_lecture.png,research,
GFX_Generic_National_Focus_Research_19,GFX_generic_focus_research_radiation_hazard,gfx/interface/goals/generic/research/Generic_National_Focus_Research_19.png,gfx/interface/goals/generic/research/generic_focus_research_radiation_hazard.png,research,
GFX_Generic_National_Focus_Research_9,GFX_generic_focus_research_soviet_scientist,gfx/interface/goals/generic/research/Generic_National_Focus_Research_9.png,gfx/interface/goals/generic/research/generic_focus_research_soviet_scientist.png,research,
GFX_Generic_National_Focus_Research_5,GFX_generic_focus_research_stacked_research,gfx/interface/goals/generic/research/Generic_National_Focus_Research_5.png,gfx/interface/goals/generic/research/generic_focus_research_stacked_research.png,research,
GFX_Generic_National_Focus_Research_8,GFX_generic_focus_research_the_university,gfx/interface/goals/generic/research/Generic_National_Focus_Research_8.png,gfx/interface/goals/generic/research/generic_focus_research_the_university.png,research,
GFX_Generic_National_Focus_Trading_11,GFX_generic_focus_trading_banana_trade,gfx/interface/goals/generic/trading/Generic_National_Focus_Trading_11.png,gfx/interface/goals/generic/trading/generic_focus_trading_banana_trade.png,trading,
GFX_Generic_National_Focus_Trading_8,GFX_generic_focus_trading_banned_produce,gfx/interface/goals/generic/trading/Generic_National_Focus_Trading_8.png,gfx/interface/goals/generic/trading/generic_focus_trading_banned_produce.png,trading,
GFX_Generic_National_Focus_Trading_15,GFX_generic_focus_trading_car_exports,gfx/interface/goals/generic/trading/Generic_National_Focus_Trading_15.png,gfx/interface/goals/generic/trading/generic_focus_trading_car_exports.png,trading,
GFX_Generic_National_Focus_Trading_10,GFX_generic_focus_trading_cash_crops,gfx/interface/goals/generic/trading/Generic_National_Focus_Trading_10.png,gfx/interface/goals/generic/trading/generic_focus_trading_cash_crops.png,trading,
GFX_Generic_National_Focus_Trading_3,GFX_generic_focus_trading_dockside_crates,gfx/interface/goals/generic/trading/Generic_National_Focus_Trading_3.png,gfx/interface/goals/generic/trading/generic_focus_trading_dockside_crates.png,trading,
GFX_Generic_National_Focus_Trading_12,GFX_generic_focus_trading_dollar_trade,gfx/interface/goals/generic/trading/Generic_National_Focus_Trading_12.png,gfx/interface/goals/generic/trading/generic_focus_trading_dollar_trade.png,trading,
GFX_Generic_National_Focus_Trading_7,GFX_generic_focus_trading_embargo_lock,gfx/interface/goals/generic/trading/Generic_National_Focus_Trading_7.png,gfx/interface/goals/generic/trading/generic_focus_trading_embargo_lock.png,trading,
GFX_Generic_National_Focus_Trading_16,GFX_generic_focus_trading_frozen_assets,gfx/interface/goals/generic/trading/Generic_National_Focus_Trading_16.png,gfx/interface/goals/generic/trading/generic_focus_trading_frozen_assets.png,trading,
GFX_Generic_National_Focus_Trading_14,GFX_generic_focus_trading_japanese_goods,gfx/interface/goals/generic/trading/Generic_National_Focus_Trading_14.png,gfx/interface/goals/generic/trading/generic_focus_trading_japanese_goods.png,trading,
GFX_Generic_National_Focus_Trading_2,GFX_generic_focus_trading_market_stall,gfx/interface/goals/generic/trading/Generic_Trade.png,gfx/interface/goals/generic/trading/generic_focus_trading_market_stall.png,trading,
